language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,source_dataset,notes
en,a millstone round one’s neck,,,a millstone round one’s neck,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.a_millstone_round_one_s_neck,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a rod of iron,,,a rod of iron,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,Harsh or absolute rule.,mnemosyne.en.explanation.kjv_bible_phrases.a_rod_of_iron,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a sling and a stone,,,a sling and a stone,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.a_sling_and_a_stone,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a Solomon’s judgement,,Solomonic judgement|Solomonic judgment,a Solomon’s judgement,classical_or_scriptural_allusion,1 Kings,King James Version,1 Kings 3:16–28,A wise judgement in a difficult dispute.,mnemosyne.en.explanation.kjv_bible_phrases.a_solomon_s_judgement,mnemosyne.en.work.1_kings,mnemosyne.en.author.king_james_version,C1,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a still small voice,,,a still small voice,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.a_still_small_voice,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a thorn in one’s side,,thorn in my side|thorn in the side,a thorn in one’s side,classical_or_scriptural_allusion,Numbers; 2 Corinthians,King James Version,Numbers 33:55; 2 Corinthians 12:7,A constant irritation or problem.,mnemosyne.en.explanation.kjv_bible_phrases.a_thorn_in_one_s_side,mnemosyne.en.work.numbers_2_corinthians,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a thorn in the flesh,,,a thorn in the flesh,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A persistent source of trouble or irritation.,mnemosyne.en.explanation.kjv_bible_phrases.a_thorn_in_the_flesh,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a time to every purpose,,to everything there is a season,a time to every purpose,classical_or_scriptural_allusion,Ecclesiastes,King James Version,Ecclesiastes 3:1,Different actions are suited to different moments.,mnemosyne.en.explanation.kjv_bible_phrases.a_time_to_every_purpose,mnemosyne.en.work.ecclesiastes,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a voice crying in the wilderness,,voice in the wilderness,a voice crying in the wilderness,classical_or_scriptural_allusion,Isaiah; Gospels,King James Version,Isaiah 40:3; John 1:23,A warning or appeal ignored by others.,mnemosyne.en.explanation.kjv_bible_phrases.a_voice_crying_in_the_wilderness,mnemosyne.en.work.isaiah_gospels,mnemosyne.en.author.king_james_version,C1,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,Absalom,,,Absalom,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.absalom,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Adam’s apple,,,Adam’s apple,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,"The visible throat cartilage, by Biblical folk etymology.",mnemosyne.en.explanation.kjv_bible_phrases.adam_s_apple,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Ahab,,,Ahab,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.ahab,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Am I my brother’s keeper,,,Am I my brother’s keeper,classical_or_scriptural_allusion,Genesis,King James Version,Genesis 4:9,A question about responsibility for others.,mnemosyne.en.explanation.kjv_bible_phrases.am_i_my_brother_s_keeper,mnemosyne.en.work.genesis,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,an eye for an eye,,eye for eye|tooth for tooth,an eye for an eye,classical_or_scriptural_allusion,Exodus,King James Version,Exodus 21:24,Punishment matching the injury caused.,mnemosyne.en.explanation.kjv_bible_phrases.an_eye_for_an_eye,mnemosyne.en.work.exodus,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,apple of his eye,,apple of my eye|apple of her eye,apple of his eye,classical_or_scriptural_allusion,Deuteronomy; Psalms,King James Version,Deuteronomy 32:10; Psalm 17:8,Someone especially cherished or protected.,mnemosyne.en.explanation.kjv_bible_phrases.apple_of_his_eye,mnemosyne.en.work.deuteronomy_psalms,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,Armageddon,,,Armageddon,classical_or_scriptural_allusion,Revelation,King James Version,Revelation 16:16,A final catastrophic conflict.,mnemosyne.en.explanation.kjv_bible_phrases.armageddon,mnemosyne.en.work.revelation,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,as old as Methuselah,,,as old as Methuselah,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,Extremely old.,mnemosyne.en.explanation.kjv_bible_phrases.as_old_as_methuselah,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,ashes and sackcloth,,,ashes and sackcloth,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.ashes_and_sackcloth,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Azazel,,,Azazel,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.azazel,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Babel,,,Babel,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.babel,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Babylonian captivity,,,Babylonian captivity,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.babylonian_captivity,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,balm in Gilead,,,balm in Gilead,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A source of healing or comfort.,mnemosyne.en.explanation.kjv_bible_phrases.balm_in_gilead,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Bathsheba,,,Bathsheba,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.bathsheba,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,be fruitful and multiply,,,be fruitful and multiply,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,"An injunction to reproduce, grow, or increase.",mnemosyne.en.explanation.kjv_bible_phrases.be_fruitful_and_multiply,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Behemoth,,,Behemoth,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,"A huge, powerful thing or organisation.",mnemosyne.en.explanation.kjv_bible_phrases.behemoth,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,blessed are the peacemakers,,,blessed are the peacemakers,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.blessed_are_the_peacemakers,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,bread of life,,,bread of life,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.bread_of_life,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,brimstone,,,brimstone,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.brimstone,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,broad way,,,broad way,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.broad_way,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,build on rock,,,build on rock,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.build_on_rock,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,burden is light,,,burden is light,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.burden_is_light,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,burning bush,,,burning bush,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.burning_bush,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,by the skin of my teeth,,skin of one's teeth|skin of your teeth|skin of my teeth,by the skin of my teeth,classical_or_scriptural_allusion,Job,King James Version,Job 19:20,Only just; by the narrowest margin.,mnemosyne.en.explanation.kjv_bible_phrases.by_the_skin_of_my_teeth,mnemosyne.en.work.job,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,by their fruits,,,by their fruits,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,Judging people by results or actions.,mnemosyne.en.explanation.kjv_bible_phrases.by_their_fruits,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,Cain and Abel,,,Cain and Abel,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.cain_and_abel,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,can a leopard change his spots,,leopard cannot change its spots|leopard change his spots,can a leopard change his spots,classical_or_scriptural_allusion,Jeremiah,King James Version,Jeremiah 13:23,People rarely change their basic nature.,mnemosyne.en.explanation.kjv_bible_phrases.can_a_leopard_change_his_spots,mnemosyne.en.work.jeremiah,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,captivity of Babylon,,,captivity of Babylon,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.captivity_of_babylon,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,cast seed on stony ground,,,cast seed on stony ground,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.cast_seed_on_stony_ground,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,cast the first stone,,let him cast the first stone,cast the first stone,classical_or_scriptural_allusion,Gospel of John,King James Version,John 8:7,Condemn someone despite not being faultless yourself.,mnemosyne.en.explanation.kjv_bible_phrases.cast_the_first_stone,mnemosyne.en.work.gospel_of_john,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,cast your bread upon the waters,,,cast your bread upon the waters,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.cast_your_bread_upon_the_waters,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,chariot of fire,,,chariot of fire,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.chariot_of_fire,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,cleft in the rock,,,cleft in the rock,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.cleft_in_the_rock,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,confusion of tongues,,,confusion of tongues,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.confusion_of_tongues,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,cross to bear,,,cross to bear,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.cross_to_bear,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,crown of thorns,,,crown of thorns,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.crown_of_thorns,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,cup runneth over,,,cup runneth over,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.cup_runneth_over,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
